TestName,Tool,Group,Pass,ExitCode,Tags,InputBytes,AllowedTimeout,TimeUser,TimeSystem,TimeWall,RamUsageMiB
sanity,Slang,,True,5,sanity,653,30,0.001319,0.003535,0.003612,21.25
discarding_soft_constraints_0,Slang,,True,0,18.5.14.2,521,30,0.004987,0.0,0.003551,20.723
in-line_constraints--randomize_5,Slang,,True,0,18.7,496,30,0.004221,0.001236,0.004181,20.973
soft_constraint_priorities_3,Slang,,True,0,uvm uvm-random,3902,300,0.136101,0.021496,0.141263,152.375
randomization_of_scope_variables_0,Slang,,True,0,18.12,524,30,0.001422,0.003868,0.003916,20.512
static_constraint_blocks_0,Slang,,True,0,18.5.11,431,30,0.004921,0.0,0.003558,20.234
discarding_soft_constraints_5,Slang,,True,0,uvm uvm-random,3853,300,0.138267,0.019551,0.141173,152.055
behavior_of_randomization_methods_0,Slang,,True,0,18.6.3,443,30,0.0,0.005267,0.003855,20.547
get_randstate_0,Slang,,True,0,uvm uvm-random,3819,300,0.131717,0.023681,0.141409,148.16
distribution_0,Slang,,True,0,18.5.4,395,30,0.0,0.005575,0.004118,20.676
disabling-random-variables-with-rand_mode_0,Slang,,True,0,uvm uvm-random,3871,300,0.133673,0.025716,0.144797,152.242
constraint_blocks_1,Slang,,True,0,uvm uvm-random,3714,300,0.14743,0.01579,0.141953,150.371
foreach_iterative_constraints_0,Slang,,True,0,18.5.8.1,459,30,0.00534,0.0,0.004112,20.844
constraint_guards_0,Slang,,True,0,18.5.13,453,30,0.001397,0.004347,0.004388,20.477
implication_0,Slang,,True,0,18.5.6,425,30,0.001313,0.003913,0.003993,20.5
manually_seeding_randomize_1,Slang,,True,0,uvm uvm-random,3919,300,0.140926,0.021541,0.140425,146.535
in-line_constraints--randomize_1,Slang,,True,0,18.7,577,30,0.0,0.005261,0.003862,21.117
adding_constraints_to_scope_variables_0,Slang,,True,0,18.12.1,569,30,0.004572,0.0,0.003216,21.055
random_weighted_case_randcase_0,Slang,,True,0,18.16,597,30,0.0,0.005834,0.004252,20.719
pure_constraint_1,Slang,,True,0,uvm uvm-random,3779,300,0.121656,0.037339,0.141208,152.156
post_randomize_method_0,Slang,,True,0,18.6.2,477,30,0.0,0.005444,0.004006,20.703
urandom_range_1,Slang,,True,0,uvm uvm-random,3931,300,0.130773,0.030751,0.141547,148.109
in-line_constraints--randomize_4,Slang,,True,0,uvm uvm-random,3868,300,0.125888,0.036824,0.142406,154.391
random_stability_3,Slang,,True,0,uvm uvm-random,4043,300,0.151297,0.017147,0.144058,148.242
uniqueness_constraints_0,Slang,,True,0,18.5.5,494,30,0.001309,0.003616,0.003775,20.348
soft_constraints_2,Slang,,True,5,18.5.14,581,30,0.0,0.005035,0.003748,20.48
if_else_production_statements_2_fail,Slang,,True,5,18.17.2,645,30,0.001334,0.003554,0.003601,20.594
interleaving_productions_rand_join_2,Slang,,True,0,18.17.5,718,30,0.001451,0.004472,0.004324,21.199
global_constraints_0,Slang,,True,0,18.5.9,446,30,0.0,0.005174,0.003793,20.621
variable_ordering_1,Slang,,True,5,18.5.10,579,30,0.005407,0.0,0.004011,20.66
case_production_statements_0,Slang,,True,0,18.17.3,866,30,0.001389,0.004104,0.004068,21.227
discarding_soft_constraints_1,Slang,,True,0,uvm uvm-random,3853,300,0.136366,0.02383,0.142001,152.242
adding_constraints_to_scope_variables_1,Slang,,True,0,uvm uvm-random,3922,300,0.139764,0.025145,0.141619,148.547
set_membership_1,Slang,,True,0,uvm uvm-random,3728,300,0.124303,0.035751,0.141558,152.301
distribution_1,Slang,,True,0,uvm uvm-random,3723,300,0.124128,0.039575,0.141931,152.352
object_stability_1,Slang,,True,0,uvm uvm-random,4123,300,0.147879,0.016273,0.143553,150.227
rand_modifier,Slang,,True,0,18.4.1,348,30,0.005274,0.0,0.00389,19.664
explicit_external_constraint_1,Slang,,True,5,18.5.1,496,30,0.003947,0.001333,0.004004,19.871
array_reduction_iterative_constraints_0,Slang,,True,0,18.5.8.2,438,30,0.001474,0.003572,0.00364,20.918
pure_constraint_0,Slang,,True,0,18.5.2,466,30,0.001453,0.00384,0.003872,20.434
controlling-constraints-with-constraint_mode_0,Slang,,True,0,uvm uvm-random,3962,300,0.142604,0.01614,0.140252,152.434
set_randstate_0,Slang,,True,0,uvm uvm-random,3889,300,0.137608,0.020064,0.142546,152.379
pure_constraint_3,Slang,,True,0,18.5.2,407,30,0.003157,0.001242,0.003222,20.18
randomize_method_0,Slang,,True,0,uvm uvm-random,3739,300,0.145098,0.016897,0.143113,148.332
disabling-random-variables-with-rand_mode_2,Slang,,True,0,uvm uvm-random,3963,300,0.14236,0.022156,0.1409,154.227
constraint_inheritance_1,Slang,,True,0,uvm uvm-random,3808,300,0.137601,0.025861,0.142089,152.625
interleaving_productions_rand_join_0,Slang,,True,0,18.17.5,712,30,0.004215,0.001507,0.004086,21.004
post_randomize_method_1,Slang,,True,0,uvm uvm-random,3865,300,0.145597,0.02002,0.144227,146.355
set_membership_0,Slang,,True,0,18.5.3,391,30,0.0,0.004751,0.003521,20.844
in-line_constraint_checker_1,Slang,,True,0,uvm uvm-random,3887,300,0.132248,0.025485,0.13941,150.293
behavior_of_randomization_methods_4,Slang,,True,5,18.6.3,604,30,0.004729,0.0,0.00356,20.551
in-line_constraints--randomize_3,Slang,,True,0,18.7,480,30,0.001441,0.00377,0.0038,21.07
array_reduction_iterative_constraints_1,Slang,,True,0,uvm uvm-random,3785,300,0.146839,0.012445,0.142234,150.57
soft_constraints_1,Slang,,True,0,uvm uvm-random,3771,300,0.129303,0.030664,0.141797,154.297
implicit_external_constraint_2,Slang,,True,0,uvm uvm-random,3754,300,0.134236,0.029047,0.140447,148.32
if_else_constraints_4,Slang,,True,0,uvm uvm-random,3882,300,0.148778,0.011958,0.146353,152.305
urandom_range_2,Slang,,True,0,uvm uvm-random,4016,300,0.136328,0.023165,0.14094,152.582
functions_in_constraint_1,Slang,,True,0,uvm uvm-random,3845,300,0.146476,0.015677,0.141808,154.734
uniqueness_constraints_1,Slang,,True,0,uvm uvm-random,3926,300,0.132895,0.027877,0.141285,148.395
if_else_constraints_1,Slang,,True,0,18.5.7,477,30,0.00147,0.003421,0.003462,20.215
if_else_production_statements_2,Slang,,True,0,18.17.2,742,30,0.005066,0.0,0.003741,21.219
behavior_of_randomization_methods_3,Slang,,True,0,uvm uvm-random,3902,300,0.143894,0.020935,0.141176,150.41
in-line_random_variable-control_0,Slang,,True,0,uvm uvm-random,3983,300,0.136989,0.025676,0.139635,150.531
srandom_0,Slang,,True,0,uvm uvm-random,3959,300,0.127091,0.038417,0.144374,150.332
constraint_guards_1,Slang,,True,0,uvm uvm-random,3799,300,0.145297,0.019999,0.142746,152.422
random_stability_0,Slang,,True,0,uvm uvm-random,3900,300,0.136761,0.025565,0.141101,150.426
urandom_range_0,Slang,,True,0,18.13.2,522,30,0.001172,0.003593,0.003632,20.879
repeat_production_statements_0,Slang,,True,0,18.17.4,687,30,0.001272,0.003628,0.003534,21.141
constraint_blocks_0,Slang,,True,0,18.5,385,30,0.001788,0.003294,0.003347,20.359
disabling-random-variables-with-rand_mode_5,Slang,,True,5,uvm uvm-random,3898,300,0.115424,0.045198,0.140684,150.324
soft_constraint_priorities_4,Slang,,True,0,uvm uvm-random,3925,300,0.139099,0.020228,0.141996,152.332
random_production_weights_0,Slang,,True,0,18.17.1,702,30,0.0,0.00552,0.004155,21.074
random_sequence_generation_randsequence_0,Slang,,True,0,18.17,737,30,0.001456,0.004261,0.004079,21.047
behavior_of_randomization_methods_2,Slang,,True,0,uvm uvm-random,4021,300,0.119445,0.040763,0.139838,152.168
random_stability_1,Slang,,True,0,uvm uvm-random,3897,300,0.134282,0.024898,0.140756,150.336
explicit_external_constraint_2,Slang,,True,0,uvm uvm-random,3761,300,0.146017,0.013248,0.140498,150.371
if_else_production_statements_0_fail,Slang,,True,5,18.17.2,598,30,0.001584,0.00375,0.003837,20.758
